Vectorizer,Model,Accuracy,Precision,Recall,F1-score
tfidf_word,RandomForest,0.65,0.691494708994709,0.65,0.6495642788154399
tfidf_word,SVM,0.4875,0.7560392600694323,0.4875,0.5082402437138313
tfidf_word,XGBoost,0.6041666666666666,0.6173587061087061,0.6041666666666666,0.5954939098625159
tfidf_word,NaiveBayes,0.3958333333333333,0.6282976346383603,0.3958333333333333,0.3916691994806605
tfidf_word,MLP,0.725,0.7724716024716025,0.725,0.7168537518235493
tfidf_word,DecisionTree,0.30833333333333335,0.3144941979316979,0.30833333333333335,0.2995880956633666
tfidf_word_2gram,RandomForest,0.32916666666666666,0.47558081335493624,0.32916666666666666,0.3330720162333939
tfidf_word_2gram,SVM,0.016666666666666666,0.029323570432357043,0.016666666666666666,0.007601584022038568
tfidf_word_2gram,XGBoost,0.29583333333333334,0.41349512377092795,0.29583333333333334,0.29916109890926074
tfidf_word_2gram,NaiveBayes,0.2833333333333333,0.4337862886382623,0.2833333333333333,0.27566582480826657
tfidf_word_2gram,MLP,0.475,0.6450846921188602,0.475,0.4847163798956544
tfidf_word_2gram,DecisionTree,0.2125,0.2359514392220156,0.2125,0.2050961552313518
tfidf_word_3gram,RandomForest,0.1375,0.3940146544181978,0.1375,0.1598061021222786
tfidf_word_3gram,SVM,0.016666666666666666,0.029323570432357043,0.016666666666666666,0.007601584022038568
tfidf_word_3gram,XGBoost,0.12916666666666668,0.2204011611593976,0.12916666666666668,0.13710739710352715
tfidf_word_3gram,NaiveBayes,0.0875,0.33560049019607846,0.0875,0.1063519773302382
tfidf_word_3gram,MLP,0.43333333333333335,0.5331691953097029,0.43333333333333335,0.4376630238141394
tfidf_word_3gram,DecisionTree,0.17916666666666667,0.33763480530197487,0.17916666666666667,0.20425370022481065
tfidf_char_2gram,RandomForest,0.8791666666666667,0.9031580687830687,0.8791666666666667,0.8782307541672867
tfidf_char_2gram,SVM,0.8458333333333333,0.9034588328338328,0.8458333333333333,0.8426960630385552
tfidf_char_2gram,XGBoost,0.8458333333333333,0.856423194860695,0.8458333333333333,0.8425233165742066
tfidf_char_2gram,NaiveBayes,0.07083333333333333,0.06796839995735351,0.07083333333333333,0.03025716878087243
tfidf_char_2gram,MLP,0.9458333333333333,0.9538756613756614,0.9458333333333333,0.9456459614516889
tfidf_char_2gram,DecisionTree,0.7,0.7527064486439486,0.7,0.7085668355194285
tfidf_char_3gram,RandomForest,0.8291666666666667,0.8744653725903725,0.8291666666666667,0.8177016375589954
tfidf_char_3gram,SVM,0.8833333333333333,0.9067400192400192,0.8833333333333333,0.8849488021264169
tfidf_char_3gram,XGBoost,0.8208333333333333,0.8373445767195766,0.8208333333333333,0.8162494560514567
tfidf_char_3gram,NaiveBayes,0.3,0.41620877477785373,0.3,0.26205017040349854
tfidf_char_3gram,MLP,0.9375,0.9443987493987493,0.9375,0.937694809060908
tfidf_char_3gram,DecisionTree,0.5583333333333333,0.5923906417656416,0.5583333333333333,0.5595437389591633
